variable,region,Source,Series,year,value,Unit,RID
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,1995,211102,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,1996,209259,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,1997,196102,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,1998,163612,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,1999,210885,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2000,171542,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2001,175006,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2002,193056,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2003,179316,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2004,221626,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2005,177202,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2006,199607,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2007,164899,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2008,184971,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2009,197987,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2010,184906,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2011,223461,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2012,180925,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2013,161656,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2014,172096,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2015,165939,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2016,165230,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2017,209765,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2018,193672,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2019,138283,Mm3,10
Total Inflows,NORTH_ISLAND,NIWA,Annual June Year,2020,142547,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,1995,68060,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,1995,141651,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,1996,74341,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,1996,137064,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,1997,71065,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,1997,124803,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,1998,63958,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,1998,101227,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,1999,69766,Mm3,10
